2018-05-03 15:18:25,770 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@5f2108b5: startup date [Thu May 03 15:18:25 KST 2018]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2018-05-03 15:18:26,848 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[C:\Users\admin\Downloads\apache-activemq-5.15.3-bin(1)\apache-activemq-5.15.3\bin\cluster\dynamic-broker1\data\kahadb] | org.apache.activemq.broker.BrokerService | main
2018-05-03 15:18:27,339 | INFO  | PListStore:[C:\Users\admin\Downloads\apache-activemq-5.15.3-bin(1)\apache-activemq-5.15.3\bin\cluster\dynamic-broker1\data\dynamic-broker1\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2018-05-03 15:18:27,553 | INFO  | Apache ActiveMQ 5.15.3 (dynamic-broker1, ID:Notebook-ssw-17014-1525328307358-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2018-05-03 15:18:27,572 | INFO  | Listening for connections at: tcp://Notebook-ssw:61626?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2018-05-03 15:18:27,784 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2018-05-03 15:18:27,996 | INFO  | Network Connector DiscoveryNetworkConnector:NC:BrokerService[dynamic-broker1] started | org.apache.activemq.network.NetworkConnector | main
2018-05-03 15:18:27,998 | INFO  | Apache ActiveMQ 5.15.3 (dynamic-broker1, ID:Notebook-ssw-17014-1525328307358-0:1) started | org.apache.activemq.broker.BrokerService | main
2018-05-03 15:18:28,000 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2018-05-03 15:18:28,286 | INFO  | Establishing network connection from vm://dynamic-broker1 to tcp://Notebook-ssw:61626 | org.apache.activemq.network.DiscoveryNetworkConnector | Notifier-MulticastDiscoveryAgent-listener:DiscoveryNetworkConnector:NC:BrokerService[dynamic-broker1]
2018-05-03 15:18:28,360 | INFO  | Connector vm://dynamic-broker1 started | org.apache.activemq.broker.TransportConnector | Notifier-MulticastDiscoveryAgent-listener:DiscoveryNetworkConnector:NC:BrokerService[dynamic-broker1]
2018-05-03 15:18:28,402 | INFO  | dynamic-broker1 Shutting down NC | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[dynamic-broker1] Task-3
2018-05-03 15:18:28,411 | INFO  | dynamic-broker1 bridge to Unknown stopped | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[dynamic-broker1] Task-3
2018-05-03 15:18:28,411 | WARN  | Transport Connection to: tcp://192.168.0.113:17015 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///192.168.0.113:17015@61626
2018-05-03 15:18:28,414 | INFO  | Connector vm://dynamic-broker1 stopped | org.apache.activemq.broker.TransportConnector | triggerStartAsyncNetworkBridgeCreation: remoteBroker=tcp://Notebook-ssw/192.168.0.113:61626@17015, localBroker= vm://dynamic-broker1#0
2018-05-03 15:18:28,930 | INFO  | No Spring WebApplicationInitializer types detected on classpath | /admin | main
2018-05-03 15:18:29,080 | INFO  | ActiveMQ WebConsole available at http://0.0.0.0:8163/ | org.apache.activemq.web.WebConsoleStarter | main
2018-05-03 15:18:29,082 | INFO  | ActiveMQ Jolokia REST API available at http://0.0.0.0:8163/api/jolokia/ | org.apache.activemq.web.WebConsoleStarter | main
2018-05-03 15:18:29,196 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2018-05-03 15:18:29,421 | INFO  | No Spring WebApplicationInitializer types detected on classpath | /api | main
2018-05-03 15:18:29,650 | INFO  | jolokia-agent: Using policy access restrictor classpath:/jolokia-access.xml | /api | main
2018-05-03 15:21:56,851 | WARN  | Transport Connection to: tcp://127.0.0.1:17052 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:17052@61626
2018-05-03 15:22:05,671 | WARN  | Transport Connection to: tcp://127.0.0.1:17055 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:17055@61626
2018-05-03 15:23:18,552 | INFO  | Apache ActiveMQ 5.15.3 (dynamic-broker1, ID:Notebook-ssw-17014-1525328307358-0:1) is shutting down | org.apache.activemq.broker.BrokerService | Thread-18
2018-05-03 15:23:18,554 | INFO  | Network Connector DiscoveryNetworkConnector:NC:BrokerService[dynamic-broker1] stopped | org.apache.activemq.network.NetworkConnector | Thread-18
2018-05-03 15:23:18,568 | INFO  | Connector openwire stopped | org.apache.activemq.broker.TransportConnector | Thread-18
2018-05-03 15:23:18,574 | INFO  | PListStore:[C:\Users\admin\Downloads\apache-activemq-5.15.3-bin(1)\apache-activemq-5.15.3\bin\cluster\dynamic-broker1\data\dynamic-broker1\tmp_storage] stopped | org.apache.activemq.store.kahadb.plist.PListStoreImpl | Thread-18
2018-05-03 15:23:18,575 | INFO  | Stopping async queue tasks | org.apache.activemq.store.kahadb.KahaDBStore | Thread-18
2018-05-03 15:23:18,576 | INFO  | Stopping async topic tasks | org.apache.activemq.store.kahadb.KahaDBStore | Thread-18
2018-05-03 15:23:18,577 | INFO  | Stopped KahaDB | org.apache.activemq.store.kahadb.KahaDBStore | Thread-18
2018-05-03 15:23:18,604 | INFO  | Apache ActiveMQ 5.15.3 (dynamic-broker1, ID:Notebook-ssw-17014-1525328307358-0:1) uptime 4 minutes | org.apache.activemq.broker.BrokerService | Thread-18
2018-05-03 15:23:18,608 | INFO  | Apache ActiveMQ 5.15.3 (dynamic-broker1, ID:Notebook-ssw-17014-1525328307358-0:1) is shutdown | org.apache.activemq.broker.BrokerService | Thread-18
2018-05-03 15:23:18,610 | INFO  | Closing org.apache.activemq.xbean.XBeanBrokerFactory$1@5f2108b5: startup date [Thu May 03 15:18:25 KST 2018]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | Thread-18
2018-05-03 15:23:18,632 | INFO  | Destroying Spring FrameworkServlet 'dispatcher' | /admin | Thread-18
2018-05-03 15:29:19,551 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@e45f292: startup date [Thu May 03 15:29:19 KST 2018]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2018-05-03 15:29:21,264 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[C:\Users\admin\Downloads\apache-activemq-5.15.3-bin(1)\apache-activemq-5.15.3\bin\cluster\dynamic-broker1\data\kahadb] | org.apache.activemq.broker.BrokerService | main
2018-05-03 15:29:21,671 | INFO  | KahaDB is version 6 | org.apache.activemq.store.kahadb.MessageDatabase | main
2018-05-03 15:29:21,730 | INFO  | PListStore:[C:\Users\admin\Downloads\apache-activemq-5.15.3-bin(1)\apache-activemq-5.15.3\bin\cluster\dynamic-broker1\data\dynamic-broker1\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2018-05-03 15:29:21,966 | INFO  | Apache ActiveMQ 5.15.3 (dynamic-broker1, ID:Notebook-ssw-17180-1525328961821-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2018-05-03 15:29:22,047 | INFO  | Listening for connections at: tcp://Notebook-ssw:61626 | org.apache.activemq.transport.TransportServerThreadSupport | main
2018-05-03 15:29:22,342 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2018-05-03 15:29:22,616 | INFO  | Network Connector DiscoveryNetworkConnector:NC:BrokerService[dynamic-broker1] started | org.apache.activemq.network.NetworkConnector | main
2018-05-03 15:29:22,618 | INFO  | Apache ActiveMQ 5.15.3 (dynamic-broker1, ID:Notebook-ssw-17180-1525328961821-0:1) started | org.apache.activemq.broker.BrokerService | main
2018-05-03 15:29:22,619 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2018-05-03 15:29:24,405 | INFO  | No Spring WebApplicationInitializer types detected on classpath | /admin | main
2018-05-03 15:29:24,776 | INFO  | ActiveMQ WebConsole available at http://0.0.0.0:8163/ | org.apache.activemq.web.WebConsoleStarter | main
2018-05-03 15:29:24,796 | INFO  | ActiveMQ Jolokia REST API available at http://0.0.0.0:8163/api/jolokia/ | org.apache.activemq.web.WebConsoleStarter | main
2018-05-03 15:29:24,973 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2018-05-03 15:29:25,321 | INFO  | No Spring WebApplicationInitializer types detected on classpath | /api | main
2018-05-03 15:29:25,577 | INFO  | jolokia-agent: Using policy access restrictor classpath:/jolokia-access.xml | /api | main
2018-05-03 15:50:22,455 | INFO  | Apache ActiveMQ 5.15.3 (dynamic-broker1, ID:Notebook-ssw-17180-1525328961821-0:1) is shutting down | org.apache.activemq.broker.BrokerService | ActiveMQ ShutdownHook
2018-05-03 15:50:22,461 | INFO  | Network Connector DiscoveryNetworkConnector:NC:BrokerService[dynamic-broker1] stopped | org.apache.activemq.network.NetworkConnector | ActiveMQ ShutdownHook
2018-05-03 15:50:22,464 | INFO  | Connector openwire stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2018-05-03 15:50:22,467 | INFO  | PListStore:[C:\Users\admin\Downloads\apache-activemq-5.15.3-bin(1)\apache-activemq-5.15.3\bin\cluster\dynamic-broker1\data\dynamic-broker1\tmp_storage] stopped | org.apache.activemq.store.kahadb.plist.PListStoreImpl | ActiveMQ ShutdownHook
2018-05-03 15:50:22,469 | INFO  | Stopping async queue tasks | org.apache.activemq.store.kahadb.KahaDBStore | ActiveMQ ShutdownHook
2018-05-03 15:50:22,470 | INFO  | Stopping async topic tasks | org.apache.activemq.store.kahadb.KahaDBStore | ActiveMQ ShutdownHook
2018-05-03 15:50:22,471 | INFO  | Stopped KahaDB | org.apache.activemq.store.kahadb.KahaDBStore | ActiveMQ ShutdownHook
2018-05-03 15:50:22,491 | INFO  | Apache ActiveMQ 5.15.3 (dynamic-broker1, ID:Notebook-ssw-17180-1525328961821-0:1) uptime 21 minutes | org.apache.activemq.broker.BrokerService | ActiveMQ ShutdownHook
2018-05-03 15:50:22,493 | INFO  | Apache ActiveMQ 5.15.3 (dynamic-broker1, ID:Notebook-ssw-17180-1525328961821-0:1) is shutdown | org.apache.activemq.broker.BrokerService | ActiveMQ ShutdownHook
2018-05-03 15:50:22,494 | INFO  | Closing org.apache.activemq.xbean.XBeanBrokerFactory$1@e45f292: startup date [Thu May 03 15:29:19 KST 2018]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | ActiveMQ ShutdownHook
2018-05-03 15:50:22,512 | INFO  | Destroying Spring FrameworkServlet 'dispatcher' | /admin | ActiveMQ ShutdownHook
2018-05-03 15:50:29,108 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@e45f292: startup date [Thu May 03 15:50:29 KST 2018]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2018-05-03 15:50:30,360 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[C:\Users\admin\Downloads\apache-activemq-5.15.3-bin(1)\apache-activemq-5.15.3\bin\cluster\dynamic-broker1\data\kahadb] | org.apache.activemq.broker.BrokerService | main
